Domanda,Opzione A,Opzione B,Opzione C,Opzione D,Risposta Corretta 
"Quale tag HTML si utilizza per creare un campo di testo multilinea?","<textarea>","<input type='text'>","<p>","<div>","A" 
"Quale attributo HTML serve per specificare il testo alternativo di un'immagine?","alt","src","title","href","A" 
"Qual è il tag corretto per definire un paragrafo in HTML?","<paragraph>","<p>","<pg>","<para>","B" 
"Quale tag HTML indica la sezione di intestazione di un documento (metadati, titoli, collegamenti a fogli di stile)?","<header>","<head>","<section>","<body>","B" 
"In HTML5, quale tag viene utilizzato per contenere un contenuto che rappresenta un articolo autonomo?","<section>","<article>","<div>","<aside>","B" 
"Quale attributo di un elemento <script> specifica l'indirizzo del file JavaScript esterno?","src","href","type","link","A" 
"Quale proprietà CSS consente di arrotondare i bordi di un elemento?","border-style","border-radius","border-round","border-corner","B" 
"Quale regola CSS permette di definire stili differenti in base alla dimensione dello schermo o del dispositivo?","@import","@screen","@responsive","@media","D" 
"Quale proprietà CSS serve per cambiare l'allineamento orizzontale del testo?","text-transform","text-align","justify-content","align-text","B" 
"Quale unità di misura CSS è relativa alla dimensione del font dell’elemento genitore?","px","em","cm","%","B" 
"Quale proprietà CSS imposta la trasparenza di un elemento?","opacity","visibility","display","color-alpha","A" 
"Quale selettore CSS seleziona tutti i paragrafi che si trovano all'interno di un elemento con id='contenitore'?","#contenitore > p","p #contenitore","p .contenitore","#contenitore p","D" 
"Quale comando Git mostra lo stato dei file nel repository (modificati, non tracciati, in stage)?","git log","git status","git show","git commit","B" 
"Quale comando Git crea un nuovo branch?","git branch <nome_branch>","git new-branch <nome_branch>","git create <nome_branch>","git checkout -m <nome_branch>","A" 
"Come si esegue il merge di un branch in quello attuale?","git merge <nome_branch>","git combine <nome_branch>","git add <nome_branch>","git push origin <nome_branch>","A" 
"Quale comando Git mostra la cronologia dei commit?","git diff","git fetch","git log","git status","C" 
"Come si aggiunge un file, già creato o modificato, allo stage per il prossimo commit?","git stash <file>","git add <file>","git commit -m <file>","git pull <file>","B" 
"Come si chiama il file che serve a ignorare determinati file o cartelle nel repository?",".gitignore",".gitconfig","ignore.txt",".gitavoid","A" 
"Quale comando Git scarica gli aggiornamenti dal repository remoto e li unisce al branch locale?","git fetch","git pull","git clone","git branch","B" 
"A cosa serve il comando git stash?","Elimina definitivamente i file in stage","Salva temporaneamente le modifiche non ancora commit in un’area di memoria","Invia i commit al repository remoto","Verifica la differenza tra due commit","B"
"Che cos'è l'HTML?","Un linguaggio di programmazione","Un linguaggio di markup","Un framework CSS","Un server web","B" 
"Quale tag HTML viene usato per creare un collegamento ipertestuale?","<a>","<link>","<href>","<script>","A" 
"Quale tag si utilizza per inserire una riga orizzontale in una pagina HTML?","<line>","<li>","<hr>","<break>","C" 
"Come si definisce correttamente una tabella HTML?","<table><row><data></data></row></table>","<tab><row><td></td></row></tab>","<table><tr><td></td></tr></table>","<table><row><column></column></row></table>","C" 
"Che cos'è il CSS?","Un linguaggio per strutturare documenti web","Un linguaggio per stilizzare documenti web","Un linguaggio di scripting lato server","Un linguaggio per creare API","B" 
"Quale proprietà CSS imposta il colore del testo?","background-color","text-style","color","font-color","C" 
"Quale selettore CSS seleziona un elemento con l'id “intestazione”?","#intestazione",".intestazione","tag #intestazione","intestazione()","A" 
"Che cos'è Git?","Un linguaggio di programmazione","Un server web","Un sistema di controllo di versione","Un servizio di hosting di repository","C" 
"Quale comando Git clona un repository remoto in locale?","git add","git init","git clone","git pull","C" 
"Come si inviano le modifiche locali a un repository remoto su Git?","git merge","git commit","git push","git status","C"